function,nb_points,nb_neighbors,feature_set,nb_calls,total_time,total_time_per_call,cum_tume,cum_time_per_call
io.py:14(xyz),50000,100,eigenvalues,1,0.001509,0.001509,25.498531,25.498531
io.py:82(write_features),50000,100,eigenvalues,1,0.193743,0.193743,41.499286999999995,41.499286999999995
io.py:5(<module>),50000,100,eigenvalues,1,1.1e-05,1.1e-05,0.013512,0.013512
features.py:54(normalized_eigenvalues),5000,50,eigenvalues,10000,0.046861,4.6861e-06,0.092023,9.2023e-06
features.py:72(triangle_variance_space),5000,50,eigenvalues,5000,0.027519,5.5038e-06,0.076126,1.52252e-05
features.py:115(compute_3D_features),5000,50,eigenvalues,5000,0.061283,1.2256599999999999e-05,0.178802,3.57604e-05
features.py:6(<module>),5000,50,eigenvalues,1,7e-06,7e-06,0.29481799999999997,0.29481799999999997
extract.py:124(eigen_features),5000,50,eigenvalues,5001,0.174805,3.4954009198160365e-05,3.027401,0.0006053591281743651
extract.py:14(<module>),5000,50,eigenvalues,1,2.2e-05,2.2e-05,0.783014,0.783014
extract.py:33(build_neighborhood),5000,50,eigenvalues,5000,0.018574,3.7148e-06,0.8419639999999999,0.00016839279999999998
__init__.py:4(<module>),5000,50,eigenvalues,1,0.0,0.0,0.0,0.0
io.py:14(xyz),5000,50,eigenvalues,1,0.0017879999999999999,0.0017879999999999999,26.374119999999998,26.374119999999998
io.py:82(write_features),5000,50,eigenvalues,1,0.017425,0.017425,3.273087,3.273087
io.py:5(<module>),5000,50,eigenvalues,1,7e-06,7e-06,0.016153,0.016153
features.py:54(normalized_eigenvalues),50000,50,eigenvalues,100000,0.457852,4.57852e-06,0.884609,8.84609e-06
features.py:72(triangle_variance_space),50000,50,eigenvalues,50000,0.263469,5.26938e-06,0.731143,1.4622859999999999e-05
features.py:115(compute_3D_features),50000,50,eigenvalues,50000,0.556649,1.1132979999999999e-05,1.6870619999999998,3.374124e-05
features.py:6(<module>),50000,50,eigenvalues,1,9.999999999999999e-06,9.999999999999999e-06,0.29034099999999996,0.29034099999999996
extract.py:124(eigen_features),50000,50,eigenvalues,50001,1.713306,3.4265434691306176e-05,31.346344,0.0006269143417131657
extract.py:14(<module>),50000,50,eigenvalues,1,2.7e-05,2.7e-05,0.7937449999999999,0.7937449999999999
extract.py:33(build_neighborhood),50000,50,eigenvalues,50000,0.17918399999999998,3.5836799999999995e-06,10.271744,0.00020543488
__init__.py:4(<module>),50000,50,eigenvalues,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),50000,50,eigenvalues,1,0.001578,0.001578,26.762653999999998,26.762653999999998
io.py:82(write_features),50000,50,eigenvalues,1,0.15993,0.15993,33.697324,33.697324
io.py:5(<module>),50000,50,eigenvalues,1,8e-06,8e-06,0.013080999999999999,0.013080999999999999
features.py:12(accumulation_2d_neighborhood),5000,20,full,1,0.000144,0.000144,0.051296999999999995,0.051296999999999995
features.py:54(normalized_eigenvalues),5000,20,full,10000,0.060808999999999995,6.0809e-06,0.118159,1.18159e-05
features.py:72(triangle_variance_space),5000,20,full,5000,0.036046999999999996,7.209399999999999e-06,0.091251,1.82502e-05
features.py:115(compute_3D_features),5000,20,full,5000,0.069535,1.3907e-05,0.211303,4.22606e-05
features.py:148(compute_2D_features),5000,20,full,5000,0.026473,5.2946e-06,0.043616999999999996,8.723399999999999e-06
features.py:168(compute_3D_properties),5000,20,full,5000,0.043531,8.7062e-06,0.479637,9.592739999999999e-05
features.py:211(<listcomp>),5000,20,full,5000,0.265677,5.31354e-05,0.282298,5.64596e-05
features.py:195(compute_2D_properties),5000,20,full,5000,0.036712,7.3424e-06,0.32758499999999996,6.551699999999999e-05
features.py:218(verticality_coefficient),5000,20,full,5000,0.0162,3.24e-06,0.018597,3.7194e-06
features.py:6(<module>),5000,20,full,1,8e-06,8e-06,0.29936199999999996,0.29936199999999996
