function,nb_points,nb_neighbors,feature_set,nb_calls,total_time,total_time_per_call,cum_time,cum_time_per_call
features.py:147(compute_2D_features),5000,100,full,5000,0.024717,4.9434e-06,0.051467,1.02934e-05
features.py:167(compute_3D_properties),5000,100,full,5000,0.03719,7.438e-06,0.46771199999999996,9.35424e-05
features.py:210(<listcomp>),5000,100,full,5000,1.113157,0.0002226314,1.167922,0.00023358439999999998
features.py:194(compute_2D_properties),5000,100,full,5000,0.035213,7.0426e-06,1.221619,0.0002443238
features.py:217(verticality_coefficient),5000,100,full,5000,0.014421999999999999,2.8844e-06,0.016482999999999998,3.2965999999999995e-06
features.py:6(<module>),5000,100,full,1,9.999999999999999e-06,9.999999999999999e-06,0.287978,0.287978
extract.py:49(build_neighborhood),5000,100,full,5000,0.022549,4.5098e-06,0.7447039999999999,0.0001489408
extract.py:72(fitted_pca),5000,100,full,10000,0.030211,3.0210999999999998e-06,3.686633,0.0003686633
extract.py:191(all_features),5000,100,full,5001,0.29148799999999997,5.828594281143771e-05,6.848668,0.0013694597080583884
extract.py:14(<module>),5000,100,full,1,2.4999999999999998e-05,2.4999999999999998e-05,0.8268989999999999,0.8268989999999999
extract.py:34(compute_tree),5000,100,full,1,0.000539,0.000539,0.0008529999999999999,0.0008529999999999999
__init__.py:4(<module>),5000,100,full,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),5000,100,full,1,0.002522,0.002522,25.785905999999997,25.785905999999997
io.py:82(write_features),5000,100,full,1,0.028043,0.028043,7.285983,7.285983
io.py:5(<module>),5000,100,full,1,9e-06,9e-06,0.013431,0.013431
features.py:53(normalized_eigenvalues),100000,100,alphabeta,100000,0.445022,4.45022e-06,0.942054,9.42054e-06
features.py:71(triangle_variance_space),100000,100,alphabeta,100000,0.459176,4.5917599999999996e-06,1.40123,1.40123e-05
features.py:6(<module>),100000,100,alphabeta,1,7e-06,7e-06,0.233732,0.233732
extract.py:49(build_neighborhood),100000,100,alphabeta,100000,0.289877,2.89877e-06,12.85736,0.0001285736
extract.py:72(fitted_pca),100000,100,alphabeta,100000,0.195357,1.95357e-06,28.741204,0.00028741204
extract.py:89(alphabeta_features),100000,100,alphabeta,100001,2.432269,2.4322446775532242e-05,45.465699,0.00045465244347556524
extract.py:14(<module>),100000,100,alphabeta,1,2.4999999999999998e-05,2.4999999999999998e-05,0.646675,0.646675
extract.py:34(compute_tree),100000,100,alphabeta,1,0.029035,0.029035,0.033636,0.033636
__init__.py:4(<module>),100000,100,alphabeta,1,0.0,0.0,0.0,0.0
io.py:14(xyz),100000,100,alphabeta,1,0.0013989999999999999,0.0013989999999999999,20.695589,20.695589
io.py:82(write_features),100000,100,alphabeta,1,0.211224,0.211224,47.885920999999996,47.885920999999996
io.py:5(<module>),100000,100,alphabeta,1,7e-06,7e-06,0.010310999999999999,0.010310999999999999
features.py:53(normalized_eigenvalues),50000,100,alphabeta,50000,0.22977699999999998,4.59554e-06,0.47903799999999996,9.580759999999999e-06
features.py:71(triangle_variance_space),50000,100,alphabeta,50000,0.230561,4.61122e-06,0.709599,1.419198e-05
features.py:6(<module>),50000,100,alphabeta,1,6e-06,6e-06,0.244419,0.244419
extract.py:49(build_neighborhood),50000,100,alphabeta,50000,0.132963,2.65926e-06,6.137874999999999,0.00012275749999999998
extract.py:72(fitted_pca),50000,100,alphabeta,50000,0.098854,1.97708e-06,14.459646999999999,0.00028919293999999995
extract.py:89(alphabeta_features),50000,100,alphabeta,50001,1.1935719999999999,2.3870962580748382e-05,22.513927,0.00045026953460930777
extract.py:14(<module>),50000,100,alphabeta,1,3.2e-05,3.2e-05,0.683758,0.683758
extract.py:34(compute_tree),50000,100,alphabeta,1,0.010839,0.010839,0.013234,0.013234
__init__.py:4(<module>),50000,100,alphabeta,1,0.0,0.0,0.0,0.0
io.py:14(xyz),50000,100,alphabeta,1,0.0017569999999999999,0.0017569999999999999,20.667431,20.667431
io.py:82(write_features),50000,100,alphabeta,1,0.102947,0.102947,23.709236,23.709236
io.py:5(<module>),50000,100,alphabeta,1,9e-06,9e-06,0.012908999999999999,0.012908999999999999
features.py:12(accumulation_2d_neighborhood),10000,50,full,1,0.00013099999999999999,0.00013099999999999999,0.0497,0.0497
features.py:53(normalized_eigenvalues),10000,50,full,20000,0.105908,5.2954e-06,0.207889,1.039445e-05
features.py:71(triangle_variance_space),10000,50,full,10000,0.055791,5.5791e-06,0.151908,1.5190799999999999e-05
features.py:114(compute_3D_features),10000,50,full,10000,0.11678799999999999,1.1678799999999999e-05,0.36994499999999997,3.69945e-05
features.py:147(compute_2D_features),10000,50,full,10000,0.045742,4.5742e-06,0.094568,9.4568e-06
features.py:167(compute_3D_properties),10000,50,full,10000,0.068605,6.8605e-06,0.855348,8.55348e-05
features.py:210(<listcomp>),10000,50,full,10000,1.081739,0.0001081739,1.1338709999999999,0.00011338709999999998
features.py:194(compute_2D_properties),10000,50,full,10000,0.060518999999999996,6.0519e-06,1.217085,0.0001217085
features.py:217(verticality_coefficient),10000,50,full,10000,0.026358,2.6358e-06,0.030220999999999998,3.0221e-06
features.py:6(<module>),10000,50,full,1,8e-06,8e-06,0.27047699999999997,0.27047699999999997
extract.py:49(build_neighborhood),10000,50,full,10000,0.037256,3.7256e-06,1.306848,0.0001306848
extract.py:72(fitted_pca),10000,50,full,20000,0.048985999999999995,2.4492999999999996e-06,6.666435,0.00033332175
extract.py:191(all_features),10000,50,full,10001,0.5000939999999999,5.000439956004399e-05,11.305259,0.0011304128587141286
extract.py:14(<module>),10000,50,full,1,3.2e-05,3.2e-05,0.783458,0.783458
extract.py:34(compute_tree),10000,50,full,1,0.001485,0.001485,0.0018499999999999999,0.0018499999999999999
__init__.py:4(<module>),10000,50,full,1,0.0,0.0,0.0,0.0
io.py:14(xyz),10000,50,full,1,0.001903,0.001903,24.928670999999998,24.928670999999998
io.py:82(write_features),10000,50,full,1,0.047709999999999995,0.047709999999999995,12.106644,12.106644
io.py:5(<module>),10000,50,full,1,9e-06,9e-06,0.013248999999999999,0.013248999999999999
features.py:53(normalized_eigenvalues),100000,50,eigenvalues,200000,0.848366,4.24183e-06,1.633016,8.16508e-06
features.py:71(triangle_variance_space),100000,50,eigenvalues,100000,0.47928699999999996,4.79287e-06,1.327005,1.327005e-05
features.py:114(compute_3D_features),100000,50,eigenvalues,100000,1.045985,1.045985e-05,3.133066,3.133066e-05
features.py:6(<module>),100000,50,eigenvalues,1,7e-06,7e-06,0.23985599999999999,0.23985599999999999
extract.py:49(build_neighborhood),100000,50,eigenvalues,100000,0.280808,2.80808e-06,12.027178,0.00012027177999999999
extract.py:72(fitted_pca),100000,50,eigenvalues,100000,0.212972,2.12972e-06,29.912629,0.00029912629
extract.py:132(eigen_features),100000,50,eigenvalues,100001,2.823088,2.8230597694023058e-05,49.777086,0.0004977658823411765
extract.py:14(<module>),100000,50,eigenvalues,1,2.7e-05,2.7e-05,0.676863,0.676863
extract.py:34(compute_tree),100000,50,eigenvalues,1,0.025476,0.025476,0.030291,0.030291
__init__.py:4(<module>),100000,50,eigenvalues,1,0.0,0.0,0.0,0.0
io.py:14(xyz),100000,50,eigenvalues,1,0.001483,0.001483,20.787755,20.787755
io.py:82(write_features),100000,50,eigenvalues,1,0.281201,0.281201,54.027465,54.027465
io.py:5(<module>),100000,50,eigenvalues,1,9e-06,9e-06,0.011772999999999999,0.011772999999999999
features.py:53(normalized_eigenvalues),10000,100,eigenvalues,20000,0.08724699999999999,4.36235e-06,0.172699,8.63495e-06
features.py:71(triangle_variance_space),10000,100,eigenvalues,10000,0.052911,5.2911e-06,0.143121,1.43121e-05
features.py:114(compute_3D_features),10000,100,eigenvalues,10000,0.10999099999999999,1.09991e-05,0.329503,3.29503e-05
features.py:6(<module>),10000,100,eigenvalues,1,6e-06,6e-06,0.269461,0.269461
extract.py:49(build_neighborhood),10000,100,eigenvalues,10000,0.030767,3.0767e-06,1.214367,0.0001214367
extract.py:72(fitted_pca),10000,100,eigenvalues,10000,0.022785,2.2785e-06,3.245469,0.0003245469
extract.py:132(eigen_features),10000,100,eigenvalues,10001,0.326383,3.2635036496350364e-05,5.316896,0.0005316364363563644
extract.py:14(<module>),10000,100,eigenvalues,1,2.4999999999999998e-05,2.4999999999999998e-05,0.8034899999999999,0.8034899999999999
extract.py:34(compute_tree),10000,100,eigenvalues,1,0.001367,0.001367,0.001794,0.001794
__init__.py:4(<module>),10000,100,eigenvalues,1,0.0,0.0,0.0,0.0
io.py:14(xyz),10000,100,eigenvalues,1,0.00156,0.00156,23.686394,23.686394
io.py:82(write_features),10000,100,eigenvalues,1,0.031777,0.031777,5.781816999999999,5.781816999999999
io.py:5(<module>),10000,100,eigenvalues,1,1.1e-05,1.1e-05,0.014452,0.014452
features.py:53(normalized_eigenvalues),5000,50,alphabeta,5000,0.029550999999999997,5.9102e-06,0.062948,1.25896e-05
features.py:71(triangle_variance_space),5000,50,alphabeta,5000,0.030758999999999998,6.151799999999999e-06,0.093707,1.87414e-05
features.py:6(<module>),5000,50,alphabeta,1,9e-06,9e-06,0.29639099999999996,0.29639099999999996
extract.py:49(build_neighborhood),5000,50,alphabeta,5000,0.018349,3.6698e-06,0.638065,0.000127613
extract.py:72(fitted_pca),5000,50,alphabeta,5000,0.013609999999999999,2.722e-06,1.892034,0.0003784068
extract.py:89(alphabeta_features),5000,50,alphabeta,5001,0.140447,2.8083783243351326e-05,2.765034,0.0005528962207558488
extract.py:14(<module>),5000,50,alphabeta,1,2.7e-05,2.7e-05,1.029504,1.029504
extract.py:34(compute_tree),5000,50,alphabeta,1,0.000538,0.000538,0.000781,0.000781
__init__.py:4(<module>),5000,50,alphabeta,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),5000,50,alphabeta,1,0.00155,0.00155,24.5564,24.5564
io.py:82(write_features),5000,50,alphabeta,1,0.015214,0.015214,2.929013,2.929013
io.py:5(<module>),5000,50,alphabeta,1,1.1e-05,1.1e-05,0.018123999999999998,0.018123999999999998
features.py:53(normalized_eigenvalues),10000,100,alphabeta,10000,0.051865999999999995,5.1866e-06,0.10746399999999999,1.07464e-05
features.py:71(triangle_variance_space),10000,100,alphabeta,10000,0.051974,5.1973999999999996e-06,0.159438,1.5943799999999998e-05
features.py:6(<module>),10000,100,alphabeta,1,6e-06,6e-06,0.22758499999999998,0.22758499999999998
extract.py:49(build_neighborhood),10000,100,alphabeta,10000,0.030159,3.0159e-06,1.19232,0.000119232
extract.py:72(fitted_pca),10000,100,alphabeta,10000,0.022333,2.2333e-06,3.181518,0.0003181518
extract.py:89(alphabeta_features),10000,100,alphabeta,10001,0.25871,2.586841315868413e-05,4.794587,0.0004794107589241076
extract.py:14(<module>),10000,100,alphabeta,1,2.4e-05,2.4e-05,0.710038,0.710038
extract.py:34(compute_tree),10000,100,alphabeta,1,0.002044,0.002044,0.002601,0.002601
__init__.py:4(<module>),10000,100,alphabeta,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),10000,100,alphabeta,1,0.001581,0.001581,24.744774,24.744774
io.py:82(write_features),10000,100,alphabeta,1,0.024482999999999998,0.024482999999999998,5.060212,5.060212
io.py:5(<module>),10000,100,alphabeta,1,8e-06,8e-06,0.014607,0.014607
features.py:53(normalized_eigenvalues),5000,20,alphabeta,5000,0.033434,6.6868e-06,0.070272,1.40544e-05
features.py:71(triangle_variance_space),5000,20,alphabeta,5000,0.035366,7.0732e-06,0.105638,2.11276e-05
features.py:6(<module>),5000,20,alphabeta,1,8e-06,8e-06,0.264854,0.264854
extract.py:49(build_neighborhood),5000,20,alphabeta,5000,0.025825999999999998,5.165199999999999e-06,0.666848,0.0001333696
extract.py:72(fitted_pca),5000,20,alphabeta,5000,0.016711999999999998,3.3423999999999995e-06,2.111396,0.00042227920000000003
extract.py:89(alphabeta_features),5000,20,alphabeta,5001,0.14653,2.93001399720056e-05,3.031627,0.0006062041591681663
extract.py:14(<module>),5000,20,alphabeta,1,2.4999999999999998e-05,2.4999999999999998e-05,0.7714639999999999,0.7714639999999999
extract.py:34(compute_tree),5000,20,alphabeta,1,0.0009519999999999999,0.0009519999999999999,0.001215,0.001215
__init__.py:4(<module>),5000,20,alphabeta,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),5000,20,alphabeta,1,0.001877,0.001877,27.671021,27.671021
io.py:82(write_features),5000,20,alphabeta,1,0.016762,0.016762,3.2146299999999997,3.2146299999999997
io.py:5(<module>),5000,20,alphabeta,1,1.1e-05,1.1e-05,0.014114,0.014114
features.py:53(normalized_eigenvalues),100000,50,alphabeta,100000,0.459703,4.59703e-06,0.95992,9.5992e-06
features.py:71(triangle_variance_space),100000,50,alphabeta,100000,0.470039,4.70039e-06,1.429959,1.429959e-05
features.py:6(<module>),100000,50,alphabeta,1,7e-06,7e-06,0.228231,0.228231
extract.py:49(build_neighborhood),100000,50,alphabeta,100000,0.27519099999999996,2.7519099999999997e-06,11.786569,0.00011786569
extract.py:72(fitted_pca),100000,50,alphabeta,100000,0.197904,1.97904e-06,28.830917,0.00028830917
extract.py:89(alphabeta_features),100000,50,alphabeta,100001,2.217996,2.2179738202617973e-05,44.29971,0.0004429926700732992
extract.py:14(<module>),100000,50,alphabeta,1,2.2e-05,2.2e-05,0.651902,0.651902
extract.py:34(compute_tree),100000,50,alphabeta,1,0.029214999999999998,0.029214999999999998,0.034269,0.034269
__init__.py:4(<module>),100000,50,alphabeta,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),100000,50,alphabeta,1,0.0016339999999999998,0.0016339999999999998,21.578583,21.578583
io.py:82(write_features),100000,50,alphabeta,1,0.214576,0.214576,46.808862999999995,46.808862999999995
io.py:5(<module>),100000,50,alphabeta,1,9e-06,9e-06,0.013186999999999999,0.013186999999999999
features.py:53(normalized_eigenvalues),5000,100,alphabeta,5000,0.027659999999999997,5.532e-06,0.057838999999999995,1.15678e-05
features.py:71(triangle_variance_space),5000,100,alphabeta,5000,0.027378,5.4756e-06,0.085217,1.70434e-05
features.py:6(<module>),5000,100,alphabeta,1,8e-06,8e-06,0.35659199999999996,0.35659199999999996
extract.py:49(build_neighborhood),5000,100,alphabeta,5000,0.016063,3.2126000000000004e-06,0.638613,0.0001277226
extract.py:72(fitted_pca),5000,100,alphabeta,5000,0.012289999999999999,2.4579999999999996e-06,1.727674,0.0003455348
extract.py:89(alphabeta_features),5000,100,alphabeta,5001,0.139573,2.790901819636073e-05,2.591862,0.0005182687462507498
extract.py:14(<module>),5000,100,alphabeta,1,7e-05,7e-05,1.008386,1.008386
extract.py:34(compute_tree),5000,100,alphabeta,1,0.000464,0.000464,0.000785,0.000785
__init__.py:4(<module>),5000,100,alphabeta,1,0.0,0.0,0.0,0.0
io.py:14(xyz),5000,100,alphabeta,1,0.002157,0.002157,27.594154,27.594154
io.py:82(write_features),5000,100,alphabeta,1,0.013045999999999999,0.013045999999999999,2.739067,2.739067
io.py:5(<module>),5000,100,alphabeta,1,3.4e-05,3.4e-05,0.021716,0.021716
