function,nb_points,nb_neighbors,feature_set,nb_calls,total_time,total_time_per_call,cum_time,cum_time_per_call
io.py:82(write_features),10000,50,eigenvalues,1,0.029005,0.029005,5.428477,5.428477
io.py:5(<module>),10000,50,eigenvalues,1,9e-06,9e-06,0.013007999999999999,0.013007999999999999
features.py:24(accumulation_2d_neighborhood),50000,20,full,1,0.000112,0.000112,0.062319,0.062319
features.py:71(normalize),50000,20,full,50000,0.231503,4.63006e-06,0.720213,1.440426e-05
features.py:103(triangle_variance_space),50000,20,full,50000,0.238621,4.77242e-06,0.238621,4.77242e-06
features.py:146(curvature_change),50000,20,full,50000,0.020593,4.1186e-07,0.020593,4.1186e-07
features.py:164(linearity),50000,20,full,50000,0.059003999999999994,1.1800799999999998e-06,0.059003999999999994,1.1800799999999998e-06
features.py:182(planarity),50000,20,full,50000,0.045842,9.1684e-07,0.045842,9.1684e-07
features.py:200(scattering),50000,20,full,50000,0.028842,5.7684e-07,0.028842,5.7684e-07
features.py:219(omnivariance),50000,20,full,50000,0.095403,1.90806e-06,0.5029009999999999,1.0058019999999999e-05
features.py:237(anisotropy),50000,20,full,50000,0.057817999999999994,1.1563599999999998e-06,0.057817999999999994,1.1563599999999998e-06
features.py:255(eigenentropy),50000,20,full,50000,0.29051699999999997,5.8103399999999995e-06,0.633277,1.266554e-05
features.py:271(val_sum),50000,20,full,100000,0.06361599999999999,6.361599999999999e-07,0.614475,6.14475e-06
features.py:287(eigenvalue_ratio_2D),50000,20,full,50000,0.041062999999999995,8.212599999999999e-07,0.041062999999999995,8.212599999999999e-07
features.py:298(val_range),50000,20,full,50000,0.050755999999999996,1.01512e-06,0.8099379999999999,1.619876e-05
features.py:314(std_deviation),50000,20,full,50000,0.055784999999999994,1.1157e-06,2.5972239999999998,5.1944479999999996e-05
features.py:330(radius_3D),50000,20,full,50000,0.046475999999999996,9.2952e-07,0.443961,8.87922e-06
features.py:345(radius_2D),50000,20,full,50000,0.416028,8.32056e-06,1.360491,2.7209819999999996e-05
features.py:364(density_3D),50000,20,full,50000,0.163037,3.26074e-06,0.163037,3.26074e-06
features.py:383(density_2D),50000,20,full,50000,0.09992999999999999,1.9986e-06,0.09992999999999999,1.9986e-06
features.py:402(verticality_coefficient),50000,20,full,50000,0.131518,2.63036e-06,0.15195,3.039e-06
features.py:18(<module>),50000,20,full,1,9.999999999999999e-06,9.999999999999999e-06,0.238331,0.238331
extract.py:48(request_tree),50000,20,full,50000,0.05223,1.0446e-06,5.809038999999999,0.00011618077999999999
extract.py:70(fit_pca),50000,20,full,100000,0.235735,2.35735e-06,31.772603,0.00031772603
extract.py:196(all_features),50000,20,full,50001,2.5766489999999997,5.1531949361012775e-05,48.8225,0.0009764304713905721
extract.py:14(<module>),50000,20,full,1,2.4999999999999998e-05,2.4999999999999998e-05,0.834546,0.834546
extract.py:33(compute_tree),50000,20,full,1,0.010178,0.010178,0.011942,0.011942
__init__.py:4(<module>),50000,20,full,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),50000,20,full,1,0.002234,0.002234,23.979792,23.979792
io.py:82(write_features),50000,20,full,1,0.21137199999999998,0.21137199999999998,52.310728999999995,52.310728999999995
io.py:5(<module>),50000,20,full,1,1.3e-05,1.3e-05,0.015721,0.015721
features.py:24(accumulation_2d_neighborhood),5000,100,full,1,0.000112,0.000112,0.037139,0.037139
features.py:71(normalize),5000,100,full,5000,0.020978,4.1956e-06,0.065994,1.31988e-05
features.py:103(triangle_variance_space),5000,100,full,5000,0.021738,4.3476e-06,0.021738,4.3476e-06
features.py:146(curvature_change),5000,100,full,5000,0.0018009999999999999,3.6019999999999996e-07,0.0018009999999999999,3.6019999999999996e-07
features.py:164(linearity),5000,100,full,5000,0.0052899999999999996,1.0579999999999999e-06,0.0052899999999999996,1.0579999999999999e-06
features.py:182(planarity),5000,100,full,5000,0.004176,8.352e-07,0.004176,8.352e-07
features.py:200(scattering),5000,100,full,5000,0.0027429999999999998,5.485999999999999e-07,0.0027429999999999998,5.485999999999999e-07
features.py:219(omnivariance),5000,100,full,5000,0.008491,1.6982e-06,0.046083,9.216599999999999e-06
features.py:237(anisotropy),5000,100,full,5000,0.005298,1.0596e-06,0.005298,1.0596e-06
features.py:255(eigenentropy),5000,100,full,5000,0.026771,5.3542e-06,0.058606,1.1721199999999999e-05
features.py:271(val_sum),5000,100,full,10000,0.00631,6.31e-07,0.056721,5.6721e-06
features.py:287(eigenvalue_ratio_2D),5000,100,full,5000,0.003845,7.69e-07,0.003845,7.69e-07
features.py:298(val_range),5000,100,full,5000,0.0048709999999999995,9.742e-07,0.07765899999999999,1.55318e-05
features.py:314(std_deviation),5000,100,full,5000,0.004725,9.450000000000001e-07,0.237114,4.7422799999999996e-05
features.py:330(radius_3D),5000,100,full,5000,0.005637,1.1274e-06,0.042356,8.4712e-06
features.py:345(radius_2D),5000,100,full,5000,0.049846999999999995,9.9694e-06,0.14407999999999999,2.8815999999999997e-05
features.py:364(density_3D),5000,100,full,5000,0.014837,2.9673999999999997e-06,0.014837,2.9673999999999997e-06
features.py:383(density_2D),5000,100,full,5000,0.008681,1.7362e-06,0.008681,1.7362e-06
features.py:402(verticality_coefficient),5000,100,full,5000,0.012454999999999999,2.491e-06,0.014206,2.8412e-06
features.py:18(<module>),5000,100,full,1,8e-06,8e-06,0.255333,0.255333
extract.py:48(request_tree),5000,100,full,5000,0.004725,9.450000000000001e-07,0.5395719999999999,0.00010791439999999998
extract.py:70(fit_pca),5000,100,full,10000,0.020286,2.0286e-06,2.954817,0.00029548169999999997
extract.py:196(all_features),5000,100,full,5001,0.24962399999999998,4.9914817036592676e-05,4.593228,0.0009184619076184762
extract.py:14(<module>),5000,100,full,1,2.4999999999999998e-05,2.4999999999999998e-05,0.664415,0.664415
extract.py:33(compute_tree),5000,100,full,1,0.00047599999999999997,0.00047599999999999997,0.000677,0.000677
__init__.py:4(<module>),5000,100,full,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),5000,100,full,1,0.001581,0.001581,21.1125,21.1125
io.py:82(write_features),5000,100,full,1,0.01834,0.01834,4.913193,4.913193
io.py:5(<module>),5000,100,full,1,7e-06,7e-06,0.012700999999999999,0.012700999999999999
features.py:71(normalize),100000,100,alphabeta,100000,0.35747999999999996,3.5747999999999996e-06,1.162271,1.162271e-05
features.py:103(triangle_variance_space),100000,100,alphabeta,100000,0.387119,3.87119e-06,0.387119,3.87119e-06
features.py:18(<module>),100000,100,alphabeta,1,9e-06,9e-06,0.210897,0.210897
extract.py:48(request_tree),100000,100,alphabeta,100000,0.072768,7.2768e-07,11.453897999999999,0.00011453898
extract.py:70(fit_pca),100000,100,alphabeta,100000,0.18848199999999998,1.8848199999999999e-06,26.943963,0.00026943963
extract.py:87(alphabeta_features),100000,100,alphabeta,100001,2.333226,2.33320266797332e-05,42.308617999999996,0.00042308194918050813
extract.py:14(<module>),100000,100,alphabeta,1,2.4999999999999998e-05,2.4999999999999998e-05,0.611154,0.611154
extract.py:33(compute_tree),100000,100,alphabeta,1,0.023875999999999998,0.023875999999999998,0.02814,0.02814
__init__.py:4(<module>),100000,100,alphabeta,1,0.0,0.0,0.0,0.0
io.py:14(xyz),100000,100,alphabeta,1,0.001352,0.001352,19.167737,19.167737
io.py:82(write_features),100000,100,alphabeta,1,0.17840299999999998,0.17840299999999998,44.209205999999995,44.209205999999995
io.py:5(<module>),100000,100,alphabeta,1,8e-06,8e-06,0.012731,0.012731
features.py:71(normalize),50000,100,alphabeta,50000,0.19125999999999999,3.825199999999999e-06,0.620482,1.240964e-05
features.py:103(triangle_variance_space),50000,100,alphabeta,50000,0.20571799999999998,4.11436e-06,0.20571799999999998,4.11436e-06
features.py:18(<module>),50000,100,alphabeta,1,1.3e-05,1.3e-05,0.280596,0.280596
extract.py:48(request_tree),50000,100,alphabeta,50000,0.040968,8.1936e-07,5.564223999999999,0.00011128448
extract.py:70(fit_pca),50000,100,alphabeta,50000,0.103867,2.07734e-06,14.220146999999999,0.00028440294
extract.py:87(alphabeta_features),50000,100,alphabeta,50001,1.214623,2.429197416051679e-05,21.843515999999997,0.00043686158276834457
extract.py:14(<module>),50000,100,alphabeta,1,2.4999999999999998e-05,2.4999999999999998e-05,0.829935,0.829935
extract.py:33(compute_tree),50000,100,alphabeta,1,0.015514,0.015514,0.018321,0.018321
__init__.py:4(<module>),50000,100,alphabeta,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),50000,100,alphabeta,1,0.001993,0.001993,22.664713,22.664713
io.py:82(write_features),50000,100,alphabeta,1,0.092084,0.092084,22.850841,22.850841
io.py:5(<module>),50000,100,alphabeta,1,1.4999999999999999e-05,1.4999999999999999e-05,0.017388999999999998,0.017388999999999998
features.py:24(accumulation_2d_neighborhood),10000,50,full,1,0.000102,0.000102,0.039825,0.039825
features.py:71(normalize),10000,50,full,10000,0.040825,4.0825e-06,0.127541,1.2754099999999999e-05
features.py:103(triangle_variance_space),10000,50,full,10000,0.043039,4.3039e-06,0.043039,4.3039e-06
features.py:146(curvature_change),10000,50,full,10000,0.003681,3.6809999999999997e-07,0.003681,3.6809999999999997e-07
features.py:164(linearity),10000,50,full,10000,0.010772,1.0772e-06,0.010772,1.0772e-06
features.py:182(planarity),10000,50,full,10000,0.00817,8.17e-07,0.00817,8.17e-07
features.py:200(scattering),10000,50,full,10000,0.005135,5.134999999999999e-07,0.005135,5.134999999999999e-07
features.py:219(omnivariance),10000,50,full,10000,0.018271,1.8270999999999998e-06,0.09185399999999999,9.185399999999998e-06
features.py:237(anisotropy),10000,50,full,10000,0.010302,1.0302000000000001e-06,0.010302,1.0302000000000001e-06
features.py:255(eigenentropy),10000,50,full,10000,0.05046,5.046e-06,0.111402,1.11402e-05
features.py:271(val_sum),10000,50,full,20000,0.011856,5.928e-07,0.109807,5.49035e-06
features.py:287(eigenvalue_ratio_2D),10000,50,full,10000,0.007003,7.003e-07,0.007003,7.003e-07
features.py:298(val_range),10000,50,full,10000,0.009302999999999999,9.302999999999999e-07,0.150106,1.5010599999999998e-05
features.py:314(std_deviation),10000,50,full,10000,0.010107,1.0107e-06,0.468732,4.68732e-05
features.py:330(radius_3D),10000,50,full,10000,0.009411,9.410999999999999e-07,0.080954,8.0954e-06
features.py:345(radius_2D),10000,50,full,10000,0.08063999999999999,8.064e-06,0.255995,2.5599499999999998e-05
features.py:364(density_3D),10000,50,full,10000,0.029519999999999998,2.952e-06,0.029519999999999998,2.952e-06
features.py:383(density_2D),10000,50,full,10000,0.017314,1.7314e-06,0.017314,1.7314e-06
features.py:402(verticality_coefficient),10000,50,full,10000,0.023403,2.3403e-06,0.026847,2.6847e-06
features.py:18(<module>),10000,50,full,1,9e-06,9e-06,0.246159,0.246159
extract.py:48(request_tree),10000,50,full,10000,0.009059,9.059e-07,1.0001609999999999,0.00010001609999999998
extract.py:70(fit_pca),10000,50,full,20000,0.039517,1.97585e-06,5.753225,0.00028766124999999996
extract.py:196(all_features),10000,50,full,10001,0.47404399999999997,4.73996600339966e-05,8.827111,0.0008826228377162284
extract.py:14(<module>),10000,50,full,1,2.4999999999999998e-05,2.4999999999999998e-05,0.6813699999999999,0.6813699999999999
extract.py:33(compute_tree),10000,50,full,1,0.001102,0.001102,0.00147,0.00147
__init__.py:4(<module>),10000,50,full,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),10000,50,full,1,0.001473,0.001473,22.460997,22.460997
io.py:82(write_features),10000,50,full,1,0.036349,0.036349,9.469433,9.469433
io.py:5(<module>),10000,50,full,1,7e-06,7e-06,0.012766999999999999,0.012766999999999999
features.py:71(normalize),100000,50,eigenvalues,100000,0.38784799999999997,3.87848e-06,1.229966,1.2299659999999999e-05
features.py:103(triangle_variance_space),100000,50,eigenvalues,100000,0.41048199999999996,4.10482e-06,0.41048199999999996,4.10482e-06
features.py:146(curvature_change),100000,50,eigenvalues,100000,0.023603,2.3602999999999998e-07,0.023603,2.3602999999999998e-07
features.py:164(linearity),100000,50,eigenvalues,100000,0.098616,9.8616e-07,0.098616,9.8616e-07
features.py:182(planarity),100000,50,eigenvalues,100000,0.074663,7.4663e-07,0.074663,7.4663e-07
features.py:200(scattering),100000,50,eigenvalues,100000,0.047182999999999996,4.7182999999999996e-07,0.047182999999999996,4.7182999999999996e-07
features.py:219(omnivariance),100000,50,eigenvalues,100000,0.186267,1.8626699999999998e-06,0.7797759999999999,7.797759999999999e-06
features.py:237(anisotropy),100000,50,eigenvalues,100000,0.088921,8.8921e-07,0.088921,8.8921e-07
